"Nível territorial","Seleção atual","codigo_ibge","regint_id","city_id","city","nro_medicoes","tcp_down_median_mbps","tcp_up_median_mbps","rtt_median_ms","rtt_lost_package_pct","jitter_download_ms","jitter_upload_ms","nro_asns","medicoes_ipv6_porc"
"Federação","Brasil","11","1102","1100015","ALTA FLORESTA D'OESTE",25,15.68725,11.7745,61.5075,0,5.7525,6.715,3,0
"Federação","Brasil","11","1101","1100023","ARIQUEMES",346,59.65978,49.9137865,42.583,0,0.9885,1.111,9,6.9364161849711
"Federação","Brasil","11","1102","1100031","CABIXI",12,26.541044,27.504163,21.173,2.5,2.219,1.22,1,8.33333333333333
"Federação","Brasil","11","1102","1100049","CACOAL",404,62.881697,87.050027,46.064,0,0.807,1.075,8,24.7524752475248
"Federação","Brasil","11","1102","1100056","CEREJEIRAS",32,17.2769335,25.380642,73.443,0.6,1.9845,4.859,3,21.875
"Federação","Brasil","11","1102","1100064","COLORADO DO OESTE",47,68.487,84.043091,28.361,0,0.376,1.084,3,10.6382978723404
"Federação","Brasil","11","1102","1100072","CORUMBIARA",6,19.716,17.208,48.732,0,2.106,6.368,2,0
"Federação","Brasil","11","1102","1100080","COSTA MARQUES",10,30.6327085,43.735765,99.2025,1.5,7.445,5.202,4,0
"Federação","Brasil","11","1102","1100098","ESPIGÃO D'OESTE",27,29.496206,39.564501,41.957,0,1.418,1.474,2,18.5185185185185
"Federação","Brasil","11","1101","1100106","GUAJARÁ-MIRIM",418,19.93545,23.8481455,85.0995,0,1.1785,1.0665,8,27.2727272727273
"Federação","Brasil","11","1101","1100114","JARU",505,73.946252,92.676381,32.9745,0,0.307,0.362,8,6.33663366336634
"Federação","Brasil","11","1102","1100122","JI-PARANÁ",5278,72.012511,77.3373615,40.266,0,0.088,0.5205,9,43.9181508147025
"Federação","Brasil","11","1101","1100130","MACHADINHO D'OESTE",28,22.1244,30.120001,54.49,0.8,2.252,7.928,2,14.2857142857143
"Federação","Brasil","11","1102","1100148","NOVA BRASILÂNDIA D'OESTE",27,29.798443,30.9605,60.878,0.4,4.226,3.7,2,0
"Federação","Brasil","11","1102","1100155","OURO PRETO DO OESTE",79,47.7728835,58.6382255,42.7325,0.25,1.66,1.7185,3,20.253164556962
